Labels,"Oprettes, som label i GitHub
[JA/NEJ]","Kims Kryds, slettet label i Jira"
2.1.5,JA,
2.2,JA,
2.5,JA,
2.5.1,JA,
2.5.2,JA,
2.5.3,JA,
2.5.4,JA,
2.5.5,JA,
2.5.6,JA,
2.6.0,JA,
2.6.1,JA,
2.6.2,JA,
2.6.3,JA,
2.6.4,JA,
2.6.5,JA,
2.7,JA,
2.8,JA,
3.0,JA,
3.1,JA,
3.2,JA,
3.4,JA,
3.6,JA,
3.7,JA,
3.7.1,JA,
3.8,JA,
3.9,JA,
3.9.1,JA,
3.9.2,JA,
4.0,JA,
4.0.1,JA,
4.1,JA,
4.10,JA,
4.11,JA,
4.12,JA,
4.13,JA,
4.2,JA,
4.3,JA,
4.4,JA,
4.5,JA,
4.6,JA,
4.6.1,JA,
4.7,JA,
4.8,JA,
4.9,JA,
Adr_Søg,NEJ,
Afventer_SPA-projekt,NEJ,
ANALYSE,NEJ,
analyse_estimat_godkendt,NEJ,1
ANALYSE2015,NEJ,
ANALYSE2016,NEJ,
Analyseestimat_klar,NEJ,1
BDD,NEJ,
Boble,NEJ,1
BUG_2.6.5,JA,
Bør_lukkes,NEJ,
CROSSPLATFORM,NEJ,
Databehandling,NEJ,
db_optimering,JA,
db_prioriteret,NEJ,
DKJORD,JA,
DKJORD-integration,JA,
DMP,NEJ,
Efter_DKJord,NEJ,
Estimat_ønskes,NEJ,1
FaseMerge,NEJ,
fixed,NEJ,
flyttet,NEJ,
GDPR,NEJ,
GEOSERVER,JA,
GIS,JA,
HOTFIX,NEJ,
HS,NEJ,
impl_estim_godkendt,NEJ,1
impl_estim_KLAR,NEJ,1
Info,NEJ,
int,NEJ,
JAR-1287,JA,
jargruppen,NEJ,
MI,NEJ,
NYOFFWEB,NEJ,
OBS!,NEJ,
OpenAPI,JA,
Oprydning,JA,
OVERVÅG,NEJ,
PLENUM,NEJ,
RSYD,NEJ,
SD,NEJ,
SJ,NEJ,
SPA,NEJ,
SPA-8_test,NEJ,
spec,NEJ,1
spec_godkendt,NEJ,1
SPRINT3,NEJ,
SPRINT6,NEJ,
stancode,NEJ,
teknisk_gaeld,NEJ,
Tom,NEJ,
UAFKLARET,JA,
UdenforRelease,JA,
UI,JA,
v,NEJ,1
WORKSHOP,NEJ,
WS,NEJ,"ændres til ""Workshop"""
